T,H,I,R1,R2,dR1,dR2,T,H,I,R1,R2,dR1,dR2,T,H,I,R1,R2,dR1,dR2,T,H,I,R1,R2,dR1,dR2
K,Oe,mA,Ohm,Ohm,Ohm,Ohm,K,Oe,mA,Ohm,Ohm,Ohm,Ohm,K,Oe,mA,Ohm,Ohm,Ohm,Ohm,K,Oe,mA,Ohm,Ohm,Ohm,Ohm
As Grown,As Grown,As Grown,As Grown,As Grown,As Grown,As Grown,3 nm,3 nm,3 nm,3 nm,3 nm,3 nm,3 nm,7 nm,7 nm,7 nm,7 nm,7 nm,7 nm,7 nm,20 nm,20 nm,20 nm,20 nm,20 nm,20 nm,20 nm
259.3363,312.857,0.102153342753992,3.0600004752713,--,4.68632060956895E-4,--,261.87175,312.857,0.102153342753992,40.2028578742669,--,0.0303418398150333,--,257.1012,312.857,0.102153342753992,10.2763327668099,--,0.00159556295096199,--,266.66505,312.857,0.102153342753992,12.4967781886772,--,0.0019198401732672,--
258.53095,312.857,0.102153342753992,,1.40185893005881,,2.03615712550152E-4,261.3625,312.857,0.102153342753992,,0.72765408209306,,1.82845173457825E-4,256.3344,312.857,0.102153342753992,,0.170266773627711,,7.017499756295E-5,266.2152,312.857,0.102153342753992,,2.40664125420122,,3.83193247395649E-4
257.95625,312.857,0.102153342753992,3.05298060018485,--,4.80183465815571E-4,--,260.79145,312.857,0.102153342753992,40.1263276875769,--,0.0297087090161025,--,255.63,312.857,0.102153342753992,10.261609948939,--,0.00157375400801835,--,265.644,312.857,0.102153342753992,12.4894366060656,--,0.00187604222248349,--
257.14325,312.857,0.102153342753992,,1.39989983972882,,2.07027384394655E-4,260.2798,312.857,0.102153342753992,,0.727111857889202,,2.26116029952255E-4,254.85745,312.857,0.102153342753992,,0.170138963308664,,6.19342656150439E-5,265.18715,312.857,0.102153342753992,,2.40466359759402,,3.80628984246932E-4
256.5267,312.857,0.102153342753992,3.04655679705096,--,4.57353699846891E-4,--,259.724,312.857,0.102153342753992,40.0743518608259,--,0.0299081740772147,--,254.2254,312.857,0.102153342753992,10.2479221611588,--,0.00162007117269527,--,264.6136,312.857,0.102153342753992,12.4822233823732,--,0.00180041352819035,--
255.70635,312.857,0.102153342753992,,1.39706314758982,,2.10728253590565E-4,259.20515,312.857,0.102153342753992,,0.727162416662589,,1.82255254679027E-4,253.4625,312.857,0.102153342753992,,0.170012171183104,,6.86631235201135E-5,264.14155,312.857,0.102153342753992,,2.40366231168173,,3.99549687819909E-4
255.07985,312.857,0.102153342753992,3.04037416214689,--,4.67474998682732E-4,--,258.63185,312.857,0.102153342753992,39.6840547666445,--,0.0263583758627646,--,252.8697,312.857,0.102153342753992,10.2340817827784,--,0.00162970913784766,--,263.5741,312.857,0.102153342753992,12.4748366922474,--,0.00186374433134644,--
254.272,312.857,0.102153342753992,,1.39487496821733,,1.97670052109453E-4,258.10225,312.857,0.102153342753992,,0.726143488932804,,1.94662123741301E-4,252.0743,312.857,0.102153342753992,,0.169844419384112,,7.44972612880875E-5,263.1304,312.857,0.102153342753992,,2.40190365617152,,4.007608951036E-4
253.65525,312.857,0.102153342753992,3.03353622850036,--,4.67971022892674E-4,--,257.5318,312.857,0.102153342753992,39.9409624315352,--,0.029441098666256,--,251.48075,312.857,0.102153342753992,10.2203453956796,--,0.00158951889549746,--,262.56895,312.857,0.102153342753992,12.4675780565104,--,0.00180599451014906,--
252.83785,312.857,0.102153342753992,,1.3923778554801,,2.01898255890914E-4,257.0288,312.857,0.102153342753992,,0.726489416728395,,2.2596911150889E-4,250.74565,312.857,0.102153342753992,,0.169658958688866,,5.99926586009625E-5,262.10775,312.857,0.102153342753992,,2.40071353221307,,3.88686159351766E-4
252.2988,312.857,0.102153342753992,3.02823459815778,--,4.68258801476224E-4,--,256.4575,312.857,0.102153342753992,39.8942277373556,--,0.0297534197978787,--,250.0186,312.857,0.102153342753992,10.2052475851998,--,0.00164740334814953,--,261.524,312.857,0.102153342753992,12.4603121715123,--,0.00182388787195579,--
251.47135,312.857,0.102153342753992,,1.38991931425245,,2.01473587494591E-4,255.94745,312.857,0.102153342753992,,0.725267711831471,,1.97416892537168E-4,249.26625,312.857,0.102153342753992,,0.169488455853955,,6.57862283066235E-5,261.0697,312.857,0.102153342753992,,2.39906144108761,,3.85475306085722E-4
250.90945,312.857,0.102153342753992,3.02185715422422,--,4.72686699452643E-4,--,255.36375,312.857,0.102153342753992,39.8385856166524,--,0.0298077870341146,--,248.68905,312.857,0.102153342753992,10.191350854348,--,0.00157335274373075,--,260.4843,312.857,0.102153342753992,12.4529648693226,--,0.00185320709699187,--
250.1085,312.857,0.102153342753992,,1.3874615040053,,2.0173928081811E-4,254.8428,312.857,0.102153342753992,,0.725400929531788,,2.27465217825935E-4,247.93455,312.857,0.102153342753992,,0.16939716638123,,5.9411430599039E-5,260.0448,312.857,0.102153342753992,,2.39896990703658,,3.84886539332668E-4
